,telemarketing
2004-01,92
2004-02,99
2004-03,86
2004-04,90
2004-05,89
2004-06,93
2004-07,94
2004-08,87
2004-09,93
2004-10,90
2004-11,79
2004-12,100
2005-01,85
2005-02,86
2005-03,89
2005-04,87
2005-05,91
2005-06,82
2005-07,81
2005-08,85
2005-09,84
2005-10,74
2005-11,68
2005-12,58
2006-01,79
2006-02,72
2006-03,73
2006-04,68
2006-05,71
2006-06,71
2006-07,67
2006-08,69
2006-09,68
2006-10,66
2006-11,60
2006-12,47
2007-01,57
2007-02,59
2007-03,60
2007-04,54
2007-05,66
2007-06,59
2007-07,61
2007-08,63
2007-09,56
2007-10,56
2007-11,65
2007-12,45
2008-01,59
2008-02,56
2008-03,51
2008-04,54
2008-05,52
2008-06,56
2008-07,53
2008-08,54
2008-09,56
2008-10,60
2008-11,50
2008-12,42
2009-01,58
2009-02,53
2009-03,60
2009-04,61
2009-05,59
2009-06,62
2009-07,58
2009-08,55
2009-09,56
2009-10,49
2009-11,49
2009-12,37
2010-01,53
2010-02,52
2010-03,54
2010-04,52
2010-05,51
2010-06,49
2010-07,49
2010-08,48
2010-09,48
2010-10,42
2010-11,42
2010-12,32
2011-01,49
2011-02,47
2011-03,46
2011-04,44
2011-05,46
2011-06,45
2011-07,41
2011-08,44
2011-09,45
2011-10,41
2011-11,37
2011-12,30
2012-01,43
2012-02,41
2012-03,40
2012-04,38
2012-05,42
2012-06,40
2012-07,41
2012-08,40
2012-09,38
2012-10,34
2012-11,32
2012-12,25
2013-01,37
2013-02,35
2013-03,35
2013-04,37
2013-05,36
2013-06,34
2013-07,35
2013-08,36
2013-09,33
2013-10,34
2013-11,30
2013-12,25
2014-01,35
2014-02,35
2014-03,34
2014-04,30
2014-05,33
2014-06,30
2014-07,33
2014-08,31
2014-09,32
2014-10,32
2014-11,28
2014-12,24
2015-01,31
2015-02,31
2015-03,33
2015-04,31
2015-05,31
2015-06,31
2015-07,32
2015-08,30
2015-09,30
2015-10,27
2015-11,27
2015-12,21
2016-01,31
2016-02,31
2016-03,31
2016-04,29
2016-05,30
2016-06,29
2016-07,28
2016-08,27
2016-09,28
2016-10,24
2016-11,24
2016-12,20
2017-01,29
2017-02,27
2017-03,29
2017-04,26
2017-05,29
2017-06,26
2017-07,26
2017-08,29
2017-09,25
2017-10,26
2017-11,24
2017-12,19
2018-01,28
2018-02,28
2018-03,27
2018-04,29
2018-05,27
2018-06,24
2018-07,27
2018-08,26
2018-09,25
2018-10,25
2018-11,23
2018-12,18
2019-01,27
2019-02,25
2019-03,24
2019-04,24
2019-05,24
2019-06,24
2019-07,35
2019-08,27
2019-09,25
2019-10,24
2019-11,22
2019-12,18
2020-01,25
2020-02,23
2020-03,23
2020-04,15
2020-05,17
2020-06,20
2020-07,21
2020-08,20
2020-09,21
2020-10,20
2020-11,18
2020-12,17
2021-01,22
2021-02,22
2021-03,22
2021-04,21
2021-05,20
2021-06,21
2021-07,21
2021-08,20
2021-09,19
2021-10,18
2021-11,18
2021-12,16
2022-01,22
2022-02,23
2022-03,26
2022-04,22
2022-05,21
2022-06,22
2022-07,24
2022-08,20
2022-09,18
2022-10,17
2022-11,16
2022-12,15
2023-01,19
2023-02,19
2023-03,18
2023-04,16
2023-05,19
2023-06,19
2023-07,17
2023-08,18
2023-09,18
2023-10,16
2023-11,15
2023-12,12
2024-01,17
2024-02,17
2024-03,15
2024-04,15
2024-05,14
2024-06,14
2024-07,16
